House_ID,Date_Sold,City,Area_sqft,Bedrooms,Bathrooms,Garage,Year_Built,Price,Owner_Name,Contact,Email,Property_Type,Furnished,Floor_No,Total_Floors,Latitude,Longitude,Loan_Status,Registration_Price,Notes
H4955,09/01/24,BBSR,3315,1,4,Y,1982,7596150,Sunita,98765abcde,sunita@gmail,Villa,Yes,0,2,20.4451,86.191,Approved,11153486,Good property
H6838,2023/04/07,BBSR,2260,3,2,YES,2022,7933742,Meena,98765abcde,meena@gmail.com,Flat,No,3,1,19.6794,86.4245,Pending,13239176,
H2186,2024/05/31,Bhubaneswar,2066,3,3,YES,1994,13073519,Amit,0000000000,amit@gmail,Villa,Y,0,2,20.377,85.7612,Rejected,6453786,Good property
H0889,2021/12/08,Bhubaneshwar,2287,2,3,Yes,2028,2.0M,Vikas,0000000000,vikas@gmail,APT,Y,G,14,19.6246,86.4,Rejected,7188935,Suspicious price
H2673,28/11/23,Khordha,1021,2,3,No,2015,7098175,Vikas,0000000000,vikas@gmail,Flat,N,G,3,20.1589,85.7838,Rejected,12618985,
H2746,2024-08-03,Puri,1771 sqft,4,1,No,2006,14.1M,Pooja,98765abcde,pooja@outlook.com,Apartment,N,1,3,20.3041,86.1959,Pending,2842524,
H2042,2022-07-23,Cuttack,3234,Two,4,N,2008,14.5M,Pooja,0000000000,pooja#gmail.com,Flat,Y,3,2,20.2135,85.7345,Pending,7363836,
H0661,2020-11-04,Cuttack,3342,Two,4,No,1983,9048838,Amit,0000000000,amit@yahoo.com,APT,Y,3,14,20.3916,86.3357,Rejected,14541231,
H6553,2022-09-26,Bhubaneshwar,2285,Three,2,No,1988,8610562,Sunita,0000000000,sunita#gmail.com,Flat,Yes,2,7,19.8274,85.9547,Pending,14771315,Suspicious price
H2280,2021-05-31,Cuttack,579 sqft,Three,1,Yes,1981,5.3M,Vikas,0000000000,vikas@outlook.com,House,No,3,12,19.7562,85.8689,Rejected,12187922,Good property
H6372,29/05/25,Bhubaneswar,2870,4,2,Yes,2017,3709620,Amit,9430661792,amit@gmail,Villa,Y,0,9,20.1475,85.5127,Pending,10224219,Good property
H3552,25/07/23,Puri,1126,Two,4,No,2028,7407373,Meena,0000000000,meena#gmail.com,House,N,2,1,19.9943,85.825,Pending,5558780,Old house
H6536,28/11/21,Khordha,3372 sqft,1,2,No,2011,13586502,Rakesh,7074059253,rakesh@yahoo.com,Villa,No,2,11,20.0816,85.9733,Rejected,7767292,Suspicious price
H6111,08/11/21,Puri,2358 sqft,3,1,N,2024,5213524,Unknown,7431756350,unknown@yahoo.com,APT,No,2,1,20.208,85.6266,Approved,2914794,
H2394,30/07/23,Bhubaneswar,550 sqft,1,3,No,1987,8722755,Amit,7651662547,amit#gmail.com,Apartment,No,0,9,20.2644,86.1063,Rejected,5786401,
H3117,03/02/25,Bhubaneshwar,2910,Three,1,YES,2020,6.4M,Arun,9370788647,arun@gmail.com,Villa,N,G,10,19.9699,85.5326,Pending,13860750,Old house
H5759,2020/05/25,BBSR,1583 sqft,4,1,N,1994,6.5M,Arun,98765abcde,arun@gmail,APT,N,0,8,20.1887,86.1997,Pending,10396529,
H4046,2020/06/13,Bhubaneswar,2269 sqft,Three,1,Y,2016,14802844,Arun,8194673401,arun#gmail.com,Villa,Yes,3,6,19.9083,85.8211,Approved,4698193,Old house
H3373,2021/08/13,Cuttack,3832,3,1,No,2012,13033710,Arun,98765abcde,arun@gmail,Villa,N,0,4,19.7671,85.631,Pending,9350368,Suspicious price
H0995,2025/06/16,Khordha,3773,4,1,YES,2028,3970754,Rajesh,98765abcde,rajesh#gmail.com,Villa,N,1,8,20.0513,85.8836,Rejected,10526867,
H7079,19/07/21,Bhubaneshwar,3726,Two,4,YES,2028,7790218,Pooja,0000000000,pooja@gmail,Flat,N,1,14,20.2755,85.5436,Rejected,9935224,Suspicious price
H3163,2022-10-11,BBSR,2557,1,4,Yes,2028,12985407,Amit,98765abcde,amit#gmail.com,Apartment,Y,G,14,20.0336,86.4541,Rejected,14058077,Suspicious price
H7147,2020/03/14,Bhubaneswar,1461,1,4,Yes,2020,9443690,Unknown,0000000000,unknown#gmail.com,APT,Y,3,3,19.7442,85.9121,Rejected,5020853,
H1435,02/06/23,Khordha,3298,Three,3,No,1996,9.8M,Pooja,0000000000,pooja@gmail,APT,N,G,5,19.9568,85.8021,Pending,10106886,Good property
H1944,17/03/23,Khordha,1711,4,3,Yes,2016,12173812,Vikas,98765abcde,vikas@yahoo.com,Flat,Y,G,13,20.2209,86.1592,Approved,12540254,Good property
H7401,24/09/21,Bhubaneswar,2873,Three,4,YES,1992,11049760,Rajesh,0000000000,rajesh#gmail.com,APT,Yes,3,2,19.6408,86.4665,Rejected,14150340,Suspicious price
H6929,2022-01-19,Cuttack,557,Three,3,N,2028,3817745,Unknown,9620283102,unknown@outlook.com,Villa,Y,G,7,19.6167,85.5453,Approved,7106390,Suspicious price
H0952,2021/04/25,BBSR,2091,4,2,No,2021,10209880,Pooja,98765abcde,pooja@yahoo.com,Villa,N,1,14,19.8627,86.4809,Pending,11134621,Old house
H0497,2021-07-19,Bhubaneswar,3973,Two,1,Yes,2001,4.1M,Vikas,9518496186,vikas#gmail.com,Flat,Yes,2,14,20.484,86.4875,Rejected,6205279,
H0901,2020-09-26,Bhubaneshwar,3735,1,2,No,2013,14510187,Rajesh,98765abcde,rajesh#gmail.com,House,No,Ground,1,20.2272,86.4088,Rejected,10748499,Old house
H3753,04/05/20,Cuttack,2246,1,3,N,1989,4117143,Rajesh,98765abcde,rajesh#gmail.com,Villa,N,0,13,20.2018,86.3528,Rejected,14901053,
H5906,30/05/22,BBSR,2194,3,4,Y,2028,8279729,Sunita,7288335378,sunita@gmail.com,Villa,Yes,G,12,19.8726,85.6301,Approved,11839251,
H4602,2023-10-04,Cuttack,1948,1,3,N,2028,3738129,Meena,7963124353,meena@gmail,APT,Yes,2,10,19.7262,85.9291,Rejected,14875381,
H5027,2020/02/23,Puri,3897,3,3,Yes,1991,11501291,Unknown,98765abcde,unknown@outlook.com,Villa,N,3,6,19.6574,85.8116,Pending,11522639,
H0696,2020-11-14,Khordha,703,Two,4,No,1997,14665844,Rajesh,98765abcde,rajesh@gmail,Villa,Y,0,4,19.8953,86.0993,Approved,5429650,Old house
H7745,2024-04-20,Bhubaneshwar,1685 sqft,2,4,N,2025,10393009,Sunita,0000000000,sunita@outlook.com,Villa,Yes,3,15,19.5779,85.8131,Pending,11620050,Suspicious price
H5813,2021-08-15,Cuttack,585,Three,3,Yes,2007,6082173,Vikas,0000000000,vikas#gmail.com,Flat,Y,1,2,20.0105,85.614,Rejected,5253164,Old house
H2877,2021-04-28,BBSR,1548,1,2,No,2028,13427523,Amit,0000000000,amit#gmail.com,Apartment,N,3,11,19.8028,85.7747,Approved,7904610,
H0608,03/08/22,Bhubaneswar,733,Two,4,No,2017,9.5M,Rakesh,98765abcde,rakesh@gmail,Flat,Yes,3,2,20.311,86.3374,Rejected,3414808,
H5294,2020-03-21,Puri,2293,3,3,No,2028,13390013,Amit,0000000000,amit@gmail,Villa,Y,2,12,20.3516,86.4644,Rejected,4522845,Old house
H0668,20/02/25,Bhubaneshwar,3187,3,4,Y,1988,12838497,Amit,0000000000,amit@gmail.com,APT,N,1,4,20.5,85.6549,Pending,3696860,
H6316,2024/09/06,Khordha,654,4,2,YES,1991,14.1M,Unknown,98765abcde,unknown@gmail,Villa,No,Ground,4,19.8095,86.3086,Pending,5255051,Old house
H5557,03/08/22,Cuttack,2559,2,3,Yes,2028,8227905,Arun,8224336336,arun#gmail.com,Villa,No,3,2,20.4464,85.722,Pending,7865064,Good property
H3399,2022/03/22,Bhubaneshwar,1465,1,3,YES,1988,6.8M,Rajesh,0000000000,rajesh@outlook.com,Apartment,Yes,2,4,20.335,86.0488,Rejected,12215312,
H3468,08/05/24,BBSR,1733,4,1,Yes,2011,12.6M,Pooja,0000000000,pooja@gmail,APT,No,Ground,7,19.6873,86.1682,Rejected,8049927,Good property
H7811,2023/01/19,Khordha,2769,3,3,Yes,2002,7784825,Unknown,98765abcde,unknown@yahoo.com,Apartment,Y,Ground,6,20.3135,85.6751,Rejected,9795078,Suspicious price
H5176,2024-07-19,Bhubaneswar,3432,2,1,Y,2028,11.1M,Amit,0000000000,amit@gmail,APT,Y,0,13,19.868,86.3895,Rejected,9377556,Suspicious price
H2778,2022/10/13,Cuttack,2004,4,1,No,2018,11151541,Amit,0000000000,amit#gmail.com,House,N,1,12,19.9439,85.9471,Rejected,7914963,
H3564,2023-08-02,Bhubaneswar,3249,2,1,YES,2028,2583829,Rakesh,0000000000,rakesh@outlook.com,House,No,G,8,20.4488,85.872,Approved,11628809,
H4338,26/03/22,Puri,1641,Two,4,N,2028,6366937,Meena,0000000000,meena@gmail.com,Flat,Yes,3,3,20.3987,85.9451,Approved,13440874,Old house
H5471,2023-12-24,Khordha,2720,Three,2,Y,2012,4.0M,Meena,9121808073,meena@gmail,House,Y,3,13,20.483,85.6298,Approved,3103070,Old house
H3262,12/12/22,Cuttack,3872,4,4,N,2002,11.2M,Arun,98765abcde,arun@gmail.com,House,No,2,3,19.662,86.4347,Approved,7805303,
H7332,2024-09-28,Bhubaneshwar,1304,Two,1,N,2021,11928898,Rakesh,9420721027,rakesh@gmail.com,Apartment,Y,G,4,20.267,85.9166,Rejected,2508113,Suspicious price
H7283,2021/08/16,Bhubaneshwar,2478,1,1,YES,2028,10.1M,Unknown,98765abcde,unknown@gmail,APT,N,1,13,19.8705,86.0617,Pending,6055688,Suspicious price
H1004,2022-07-09,BBSR,896,2,2,Y,2028,5184887,Rakesh,0000000000,rakesh@yahoo.com,Apartment,N,Ground,8,20.4667,85.7151,Pending,2816348,Good property
H2305,2023/05/08,Puri,2427 sqft,3,3,No,2003,8720644,Arun,0000000000,arun#gmail.com,House,N,Ground,5,20.3253,86.1232,Rejected,3993318,
H0793,03/02/22,Khordha,1997,1,1,Yes,2028,9.9M,Vikas,98765abcde,vikas@yahoo.com,Villa,Y,Ground,6,20.0073,86.0097,Pending,13890680,
H2456,2024-07-28,Bhubaneshwar,1856,Three,1,N,2028,13.0M,Arun,98765abcde,arun@yahoo.com,House,N,1,14,20.1807,85.5316,Rejected,3843740,
H0156,04/10/21,BBSR,2191,Three,1,YES,2013,11410118,Arun,8347557120,arun@gmail,APT,Y,G,13,20.3677,86.1807,Rejected,6435261,
H3967,2025-05-14,Bhubaneshwar,2785,Three,2,No,2028,7851946,Sunita,8236045959,sunita@gmail,House,N,3,14,19.8451,86.2731,Approved,6872986,Good property
H2357,10/12/21,Puri,1550,Two,3,YES,1986,6.1M,Pooja,9739951076,pooja@gmail.com,Villa,Y,G,8,19.6005,86.2708,Approved,11233383,
H3334,2022/09/04,BBSR,3596,Three,2,N,1982,9010946,Arun,0000000000,arun@gmail,APT,Yes,0,5,20.068,85.6073,Pending,6774152,Suspicious price
H5254,09/12/22,BBSR,3985,2,4,Y,2025,2.2M,Unknown,98765abcde,unknown#gmail.com,Villa,Y,0,7,20.1693,85.6848,Approved,10010350,Old house
H7667,14/01/20,Cuttack,1464,Three,1,Y,2028,13622728,Sunita,8317723211,sunita@gmail,House,Y,G,2,20.1387,86.4406,Pending,12311703,
H1796,2022-09-06,Cuttack,3562,Two,2,YES,2023,10816538,Amit,9423086220,amit@gmail,House,No,Ground,9,19.6499,85.8281,Rejected,9412854,Good property
H5573,2024/01/08,Cuttack,872 sqft,Two,4,No,2016,11375061,Sunita,0000000000,sunita@gmail,Flat,Yes,0,7,19.8445,85.5638,Approved,3157949,Suspicious price
H0260,2022-04-17,BBSR,3636,4,4,No,2004,13.5M,Rakesh,0000000000,rakesh@gmail.com,House,N,Ground,3,20.2279,85.7227,Approved,14686585,Good property
H2445,2023/10/11,Khordha,2237,2,3,YES,1987,13076279,Arun,8033653860,arun@gmail.com,House,Yes,3,10,20.172,86.3722,Approved,14424217,Good property
H3296,2021/04/24,BBSR,3589,2,3,N,2028,6.0M,Arun,0000000000,arun@yahoo.com,House,No,G,11,19.9272,85.9956,Pending,12793052,Suspicious price
H6438,2021/10/14,Cuttack,2172,2,2,Y,2025,9768273,Unknown,98765abcde,unknown#gmail.com,Flat,Y,1,6,20.1467,86.4222,Pending,3551288,
H5936,15/04/20,Cuttack,3259,Three,2,No,2028,7.1M,Sunita,98765abcde,sunita@yahoo.com,House,No,3,15,19.7393,85.8216,Pending,8386444,Suspicious price
H4372,23/09/21,Bhubaneshwar,2600,4,3,YES,2028,8.9M,Meena,0000000000,meena@gmail,House,N,2,3,19.6962,85.73,Rejected,6122665,Suspicious price
H4511,11/06/21,Puri,3128,2,2,N,2011,11095547,Meena,98765abcde,meena@gmail.com,Villa,No,G,4,19.568,85.651,Approved,10484790,Suspicious price
H3058,2023/06/19,Puri,3025,Two,4,Yes,2028,10988193,Rajesh,7769945233,rajesh@gmail,Flat,No,1,10,20.0265,86.3152,Pending,8658817,Good property
H3057,2022/07/29,BBSR,3355,Three,1,Yes,2028,8327855,Vikas,7736086849,vikas#gmail.com,APT,Yes,Ground,15,19.5426,85.7114,Rejected,11509060,Suspicious price
H2221,2025-03-07,Puri,1648,1,2,N,2028,3290796,Rajesh,98765abcde,rajesh#gmail.com,Flat,Yes,Ground,12,20.4743,85.5537,Pending,5894730,Good property
H2791,07/06/25,Bhubaneswar,3097,Two,4,No,2028,3.4M,Vikas,7315708805,vikas@yahoo.com,Villa,No,G,7,19.8167,85.6066,Approved,7171869,Suspicious price
H2949,2020-07-28,Bhubaneswar,1267,1,1,Y,2015,12014732,Rakesh,0000000000,rakesh#gmail.com,Apartment,No,Ground,9,19.6696,85.8807,Approved,6511711,Old house
H2199,2020-10-25,BBSR,2280,3,2,No,2018,9681643,Arun,98765abcde,arun#gmail.com,Villa,Y,3,14,20.3235,86.151,Rejected,4283789,Old house
H2627,08/09/22,BBSR,2131,Two,2,Y,2028,8.6M,Sunita,98765abcde,sunita@gmail,House,Yes,G,8,20.443,85.7096,Pending,13623847,Good property
H6709,10/10/23,BBSR,3094,4,1,No,2028,11768433,Vikas,9334938378,vikas@gmail,House,Yes,0,13,19.7482,86.1647,Approved,12854856,
H0363,03/06/25,Cuttack,933,Two,2,No,2028,9.8M,Vikas,8481623643,vikas@yahoo.com,APT,N,0,2,20.3313,86.2302,Pending,7232651,Old house
H3731,03/12/22,Bhubaneshwar,2450,3,1,Yes,2028,12.9M,Sunita,9216176949,sunita@outlook.com,APT,N,3,4,20.2978,86.1298,Approved,12745452,Suspicious price
H3241,2024/02/19,BBSR,2341 sqft,3,1,N,1986,8136988,Rajesh,0000000000,rajesh@gmail,APT,N,Ground,7,20.087,85.8479,Pending,12357627,
H6667,2025/02/24,Khordha,847,2,3,YES,2028,9016887,Rakesh,0000000000,rakesh@gmail,Flat,No,3,5,19.6403,85.8146,Pending,12391975,Good property
H7091,2025-05-03,Cuttack,1059,4,4,No,2028,10.2M,Meena,8254516608,meena@yahoo.com,House,Y,1,13,19.9573,86.2425,Pending,11222874,
H0928,2021/07/02,Bhubaneshwar,2720,2,4,Yes,2021,6994727,Pooja,8497126699,pooja@yahoo.com,Flat,No,G,10,20.1891,86.361,Rejected,12616129,Suspicious price
H1360,2024-05-26,BBSR,3799,2,3,Y,2028,10630451,Amit,0000000000,amit#gmail.com,Flat,No,1,3,20.2114,86.3285,Rejected,8588425,Suspicious price
H1165,09/07/23,Cuttack,2351,Two,3,Y,2028,7491002,Rakesh,98765abcde,rakesh@gmail,APT,Yes,Ground,7,19.7178,85.9296,Approved,10299939,Old house
H2645,2021/11/22,Khordha,1034,1,1,Yes,2028,2273155,Rakesh,8960730480,rakesh@yahoo.com,Flat,Y,1,14,20.4327,85.774,Rejected,8047102,Old house
H0676,2023/09/22,BBSR,712 sqft,4,1,Yes,1980,9999489,Meena,7039887139,meena#gmail.com,Apartment,N,G,3,19.9777,85.7289,Approved,14260175,Good property
H0846,22/01/22,BBSR,2067,2,1,N,2016,12.2M,Meena,98765abcde,meena#gmail.com,House,N,1,2,20.3966,85.64,Approved,11891408,Suspicious price
H2880,2021-10-06,BBSR,1634,Two,3,Yes,2028,5446807,Vikas,98765abcde,vikas@gmail.com,Villa,N,0,4,19.9996,86.0939,Rejected,2202450,Old house
H7651,27/09/20,Khordha,2223,1,1,Yes,1996,2668183,Meena,0000000000,meena@gmail,House,N,3,12,19.9023,86.1405,Rejected,12335554,
H2274,2021-09-26,Khordha,1332,Three,1,Y,2028,14.2M,Pooja,0000000000,pooja#gmail.com,House,Yes,2,11,20.2417,86.2407,Approved,2212482,
H5747,01/12/20,Bhubaneshwar,2642,2,3,Yes,2028,9202871,Rajesh,0000000000,rajesh#gmail.com,Apartment,N,Ground,3,19.8677,85.7551,Approved,11628650,Good property
H1872,2020-01-06,Bhubaneswar,1501 sqft,1,4,YES,2000,8983626,Unknown,0000000000,unknown@gmail,Apartment,No,1,13,20.0158,85.5459,Pending,3156393,Suspicious price
H7095,03/05/24,Bhubaneshwar,-853,3,2,No,2028,15.0M,Rakesh,7646677686,rakesh@yahoo.com,Flat,Y,G,14,20.1935,85.5096,Pending,2024528,Suspicious price
H6956,2020-07-31,Khordha,1475 sqft,Three,3,Yes,1982,10720112,Rakesh,98765abcde,rakesh@gmail,Flat,N,0,10,20.0678,85.935,Approved,5972370,Old house
H2139,11/03/25,Puri,3907,2,2,N,1986,3772642,Meena,98765abcde,meena@yahoo.com,Villa,Y,3,5,20.3525,85.5904,Rejected,7103880,
H0331,07/09/24,BBSR,873,Three,3,Y,1991,8.8M,Sunita,0000000000,sunita@gmail.com,Apartment,Yes,0,14,20.281,85.7223,Approved,8720647,Old house
H5623,2023/04/07,Bhubaneshwar,3829,4,2,Yes,2001,2716325,Pooja,0000000000,pooja#gmail.com,Villa,No,2,4,20.4083,85.775,Pending,4493621,Good property
H5031,18/08/23,Cuttack,2187,2,4,YES,2021,12582302,Sunita,98765abcde,sunita#gmail.com,House,N,2,15,20.0657,85.8216,Pending,5016809,Good property
H2613,01/03/20,Bhubaneswar,3812 sqft,2,1,YES,2022,6471581,Sunita,98765abcde,sunita#gmail.com,Flat,No,1,10,19.818,86.2381,Pending,11924771,Good property
H5763,2025/04/24,Khordha,1082,Two,3,YES,2011,3514267,Meena,0000000000,meena#gmail.com,House,No,1,6,20.2169,86.4188,Pending,2999183,Good property
H1211,2024-05-04,Khordha,1994,Two,1,Y,2028,4289279,Amit,0000000000,amit#gmail.com,Flat,Y,1,11,20.089,85.6754,Pending,14314392,Old house
H1044,2024-02-01,Puri,2846,2,3,N,1994,10.3M,Amit,0000000000,amit@gmail,Apartment,Y,3,1,19.7652,85.7495,Approved,7880098,Old house
H6448,2024-01-15,Bhubaneswar,2080,4,4,Y,2028,3.7M,Pooja,0000000000,pooja@gmail.com,APT,Yes,2,5,20.4517,85.5742,Approved,8299138,
H5997,2023-01-25,Bhubaneshwar,2933,Three,2,N,2007,2.9M,Pooja,98765abcde,pooja@gmail,House,Y,G,5,19.7974,85.5959,Pending,11592705,
H6881,2020-11-10,Bhubaneshwar,515,4,2,Yes,1981,4866088,Arun,0000000000,arun#gmail.com,Villa,Y,0,11,20.0441,85.6849,Pending,8197531,
H3652,23/06/21,Cuttack,1578,Three,1,Yes,2028,11.1M,Rajesh,9377702111,rajesh@gmail,Villa,N,Ground,15,19.7356,85.7989,Pending,13984061,Good property
H4114,2024/06/27,Puri,3040 sqft,2,2,YES,2028,3.3M,Unknown,0000000000,unknown@gmail,Apartment,Yes,3,9,19.8974,85.8261,Pending,10718920,Suspicious price
H7514,2024/05/29,Khordha,2906 sqft,Two,1,Yes,2016,6799841,Rajesh,0000000000,rajesh#gmail.com,House,N,0,3,19.7754,85.6439,Rejected,13422144,Suspicious price
H0318,26/12/24,Puri,1473,1,3,Y,2028,10.2M,Vikas,0000000000,vikas#gmail.com,APT,Y,G,7,20.105,85.5893,Pending,5546544,Suspicious price
H6070,2024/04/04,Bhubaneshwar,3862,Two,4,YES,2013,4914829,Arun,8071552532,arun@yahoo.com,APT,No,2,6,20.3235,86.0051,Rejected,4078241,Good property
H1982,2022/09/28,Cuttack,1227,2,3,Yes,1998,8.5M,Meena,98765abcde,meena@gmail,Flat,Y,G,7,20.0133,86.3646,Rejected,2149283,Suspicious price
H7468,2023-08-18,Khordha,3780,Three,3,No,2028,9700708,Amit,9510353238,amit@gmail,APT,Y,2,11,19.6081,85.5638,Pending,12747396,Old house
H7058,2021/06/18,Puri,3168,Two,4,Y,2023,14101124,Rakesh,0000000000,rakesh#gmail.com,Apartment,No,2,12,20.2134,86.1863,Rejected,9981512,Old house
H4156,2024-09-27,Puri,2786,Three,2,Y,2021,5728795,Rakesh,0000000000,rakesh#gmail.com,House,Y,3,14,19.6178,85.5537,Rejected,11790757,
H7736,2022-08-25,Khordha,990,2,2,YES,2028,11.6M,Pooja,98765abcde,pooja@gmail.com,Villa,Y,G,3,19.8134,85.558,Pending,6589036,
H6236,2023-03-26,Cuttack,3716,4,4,No,2028,2078335,Amit,0000000000,amit@outlook.com,Apartment,Yes,G,12,19.7488,86.1935,Pending,7236039,
H0842,2022/10/27,Bhubaneshwar,1184,Three,3,No,2023,7.8M,Vikas,0000000000,vikas@gmail.com,Flat,No,1,12,19.5219,86.0046,Approved,8150383,Good property
H3074,2024/04/28,Khordha,699,1,1,No,2028,4.1M,Rakesh,98765abcde,rakesh@gmail,Apartment,Y,3,11,19.601,86.0203,Rejected,12160858,
H3432,2022/11/13,Khordha,982,2,3,N,2028,13801710,Pooja,98765abcde,pooja#gmail.com,Flat,Yes,0,11,19.589,85.6104,Rejected,13224325,Suspicious price
H1222,2024/05/15,Bhubaneswar,3463,3,3,No,1983,4931009,Pooja,0000000000,pooja@gmail,Apartment,Yes,0,1,20.352,86.1634,Approved,7514013,Old house
H7328,2025/05/10,Bhubaneshwar,3502,4,4,Y,2028,9075620,Arun,98765abcde,arun@outlook.com,Flat,Yes,3,15,20.0908,86.3023,Rejected,9351152,
H5008,14/05/24,Khordha,618 sqft,4,4,Yes,2028,2771287,Vikas,98765abcde,vikas@gmail,House,No,G,14,19.8383,86.0231,Rejected,12372329,Good property
H3546,13/09/22,Puri,3270,1,1,YES,2028,10318729,Sunita,8377111768,sunita#gmail.com,Apartment,No,Ground,11,19.8786,86.3171,Approved,9702329,Suspicious price
H6564,29/06/20,Cuttack,1794,4,4,Yes,2015,3524974,Arun,98765abcde,arun@gmail,Villa,Y,2,14,19.5543,85.7229,Pending,7569576,
H6287,2024/01/07,Bhubaneshwar,3432,3,3,Y,2028,13779217,Arun,98765abcde,arun@gmail,Villa,Yes,2,10,19.6959,85.6207,Pending,5616991,Suspicious price
H6755,07/01/24,Bhubaneswar,3601,1,4,No,2022,10368955,Sunita,0000000000,sunita@outlook.com,House,No,G,14,19.6284,85.8874,Rejected,12169690,Old house
H4130,2022/05/07,Puri,3622,4,2,YES,2028,13.8M,Vikas,7862812038,vikas@gmail,APT,Y,G,3,20.4813,86.1501,Approved,10453929,
H5688,2023-12-25,Bhubaneshwar,2803,Three,3,No,1980,2423996,Meena,0000000000,meena#gmail.com,APT,No,0,12,20.2844,85.704,Rejected,2542011,Old house
H6669,2020/07/28,Puri,3528,2,3,Yes,2028,8988821,Arun,9371357111,arun@gmail,APT,No,Ground,14,20.2809,86.3701,Approved,12633206,Old house
H6186,2024/02/21,BBSR,3679,1,2,YES,2012,8328336,Unknown,7558631501,unknown#gmail.com,Apartment,Y,3,12,20.4375,85.5399,Pending,12013990,Good property
H6338,2022/10/01,Khordha,1966 sqft,Two,1,N,2028,11.1M,Rakesh,98765abcde,rakesh#gmail.com,APT,Y,1,13,20.1183,85.9749,Rejected,14618710,Good property
H0940,2022-07-01,Puri,3013,4,1,No,2028,2414493,Meena,98765abcde,meena#gmail.com,Apartment,Y,G,4,19.8203,85.5823,Approved,4808418,
H4369,2023-07-07,BBSR,3245,2,4,Yes,2023,2398508,Rajesh,7314597900,rajesh#gmail.com,House,Yes,Ground,14,19.7276,85.7586,Pending,9568632,Suspicious price
H3548,04/02/20,Puri,984,Two,1,Yes,2002,6862651,Meena,0000000000,meena#gmail.com,Apartment,N,1,9,19.7199,86.2468,Rejected,6948917,
H2442,2025-05-14,Khordha,2773,Two,1,Y,2028,5.6M,Meena,7691293717,meena@gmail,APT,No,0,3,20.171,86.0673,Approved,14600390,
H3779,29/05/20,Puri,775,3,2,YES,2028,12393750,Unknown,0000000000,unknown@gmail,APT,No,Ground,10,19.8645,85.8163,Pending,4829301,Good property
H2566,2024-05-28,Puri,3530,Three,3,No,2028,8018685,Sunita,98765abcde,sunita@outlook.com,APT,No,Ground,4,19.7632,86.3863,Approved,14204172,Good property
H7309,2024/10/05,Puri,627 sqft,1,3,N,2028,13.0M,Rajesh,98765abcde,rajesh@yahoo.com,Villa,Yes,3,6,20.0022,86.1627,Rejected,13478327,
H6204,14/10/20,BBSR,1233 sqft,Three,4,Y,1982,14775386,Unknown,8005102559,unknown@outlook.com,House,Y,3,8,20.4179,86.3816,Approved,12880439,Old house
H0846,21/07/23,Puri,1578,3,1,N,2028,5739628,Unknown,0000000000,unknown@outlook.com,House,No,3,3,19.73,86.0145,Pending,5548668,
H1532,2022/01/11,Puri,3846,1,4,No,2010,11911826,Amit,8046556006,amit@gmail,House,No,1,11,20.0126,86.3908,Approved,2938047,
H2116,24/11/22,Khordha,2808,1,2,No,2028,10.1M,Amit,9502446090,amit@gmail,House,Y,1,12,20.1856,86.4224,Rejected,11908556,Good property
